case_id,year,region,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,ESR_7,ESR_8,ESR_9,ESR_10
all,2030,MISC,0.089,0.0,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.0
all,2030,MI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,2030,SERC,0.0,0.012,0.0,0.0,0.0,0.0,0.108,0.0,0.0,0.0
all,2030,IL1,0.0,0.0,0.349,0.0,0.0,0.0,0.0,0.349,0.0,0.0
all,2030,KY3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,2030,KY4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,2030,OH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,2030,OH2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,2030,OH3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,2030,OH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,2030,WV1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,2030,WV2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,2030,VA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0
all,2030,VA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0
all,2030,VA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0
all,2030,VA4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0
all,2030,PA1,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.078,0.0,0.0
all,2030,PA2,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.078,0.0,0.0
all,2030,PA3,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.078,0.0,0.0
all,2030,PA4,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.078,0.0,0.0
all,2030,MD1,0.0,0.0,0.552,0.0,0.0,0.0,0.0,0.552,0.0,0.0
all,2030,MD2,0.0,0.0,0.552,0.0,0.0,0.0,0.0,0.552,0.0,0.0
all,2030,DE1,0.0,0.0,0.202,0.0,0.0,0.0,0.0,0.202,0.0,0.0
all,2030,NJ1,0.0,0.0,0.534,0.0,0.0,0.0,0.0,0.534,0.0,0.0
all,2030,NY1,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0
all,2030,NY2,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0
all,2030,ISONE,0.0,0.0,0.0,0.0,0.448,0.0,0.0,0.0,0.0,0.47
all,2035,MISC,0.093,0.0,0.0,0.0,0.0,0.093,0.0,0.0,0.0,0.0
all,2035,MI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,2035,SERC,0.0,0.011,0.0,0.0,0.0,0.0,0.134,0.0,0.0,0.0
all,2035,IL1,0.0,0.0,0.376,0.0,0.0,0.0,0.0,0.484,0.0,0.0
all,2035,KY3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,2035,KY4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,2035,OH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,2035,OH2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,2035,OH3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,2035,OH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,2035,WV1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,2035,WV2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,2035,VA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.541,0.0,0.0
all,2035,VA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.541,0.0,0.0
all,2035,VA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.541,0.0,0.0
all,2035,VA4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.541,0.0,0.0
all,2035,PA1,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.078,0.0,0.0
all,2035,PA2,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.078,0.0,0.0
all,2035,PA3,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.078,0.0,0.0
all,2035,PA4,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.078,0.0,0.0
all,2035,MD1,0.0,0.0,0.571,0.0,0.0,0.0,0.0,0.571,0.0,0.0
all,2035,MD2,0.0,0.0,0.571,0.0,0.0,0.0,0.0,0.571,0.0,0.0
all,2035,DE1,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.29,0.0,0.0
all,2035,NJ1,0.0,0.0,0.512,0.0,0.0,0.0,0.0,0.512,0.0,0.0
all,2035,NY1,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0
all,2035,NY2,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0
all,2035,ISONE,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.578
all,2040,MISC,0.093,0.0,0.0,0.0,0.0,0.093,0.0,0.0,0.0,0.0
all,2040,MI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,2040,SERC,0.0,0.011,0.0,0.0,0.0,0.0,0.161,0.0,0.0,0.0
all,2040,IL1,0.0,0.0,0.373,0.0,0.0,0.0,0.0,0.619,0.0,0.0
all,2040,KY3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,2040,KY4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,2040,OH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,2040,OH2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,2040,OH3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,2040,OH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,2040,WV1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,2040,WV2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
