region,capacity_mw,id
p10,13143.7,p10
p131,1270.6,p131
p55,20.4,p55
p11,152.8,p11
p113,219.0,p113
p5,619.1,p5
p102,1501.6,p102
p111,48.8,p111
p89,326.7,p89
p7,237.8,p7
p78,237.2,p78
p118,43.0,p118
p18,14.0,p18
p20,83.0,p20
p58,144.5,p58
p8,10.1,p8
p32,80.0,p32
p84,10.5,p84
p86,200.0,p86
p26,70.1,p26
p29,13.4,p29
p98,5033.2,p98
p122,228.2,p122
p34,1642.7,p34
p101,5118.1,p101
p123,454.6,p123
p61,3288.1,p61
p105,864.8,p105
p92,560.9,p92
p103,687.2,p103
p62,2504.8,p62
p109,83.4,p109
p46,32.5,p46
p95,64.5,p95
p97,1315.3,p97
p9,5259.4,p9
p65,1941.2,p65
p59,15.5,p59
p100,12.5,p100
p134,330.1,p134
p119,1.5,p119
p45,114.0,p45
p126,964.7,p126
p13,3140.6,p13
p133,305.1,p133
p25,1553.6,p25
p33,482.5,p33
p15,240.0,p15
p27,85.2,p27
p121,101.7,p121
p87,317.7,p87
p63,4004.2,p63
p70,139.8,p70
p125,87.8,p125
p72,24.3,p72
p56,14.7,p56
p3,19.2,p3
p114,280.0,p114
p67,1186.5,p67
p39,4.4,p39
p57,3.0,p57
p44,138.0,p44
p16,160.0,p16
p38,1.0,p38
p12,705.4,p12
p88,3.1,p88
p77,415.1,p77
p76,405.5,p76
p6,89.0,p6
p50,47.5,p50
p1,16.0,p1
p130,2.4,p130
p127,1210.1,p127
p132,264.7,p132
p99,3143.1,p99
p79,229.2,p79
p85,752.0,p85
p104,5.6,p104
p90,277.2,p90
p40,24.6,p40
p21,92.0,p21
p75,257.5,p75
p41,12.7,p41
p28,2652.5,p28
p94,4099.5,p94
p80,286.1,p80
p128,152.1,p128
p30,290.9,p30
p60,1894.0,p60
p107,328.6,p107
p115,27.6,p115
p91,1163.8,p91
p43,993.6,p43
p124,104.3,p124
p112,675.1,p112
p81,423.9,p81
p69,8.1,p69
p2,153.2,p2
p71,2.8,p71
p17,80.0,p17
p31,861.2,p31
p129,144.3,p129
p106,92.2,p106
p47,276.5,p47
p96,1489.8,p96
p52,21.0,p52
p68,92.3,p68
p54,35.1,p54
p73,5.6,p73
p53,12.3,p53
p64,406.8,p64
p83,235.5,p83
p120,88.5,p120
p42,5.0,p42
p82,78.0,p82
p74,2.5,p74
