p99,p133,p128,p131
700,0,0,0
931,0,0,0
983,0,0,0
983,52,19,7
983,90,79,61
983,129,143,102
983,263,230,174
983,409,353,254
983,441,410,372
983,821,825,532
983,876,898,673
983,983,983,878
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,584,983,983
983,477,587,983
983,549,409,857
983,407,689,778
983,435,519,675
983,903,637,371
983,983,614,496
983,983,983,785
983,983,983,969
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
972,983,983,983
830,983,983,983
769,983,983,983
579,983,983,983
449,983,983,983
386,841,983,983
342,983,983,983
313,983,983,983
321,983,983,983
237,983,983,983
173,982,903,983
125,830,815,978
82,893,567,932
59,983,569,691
33,760,589,536
0,873,357,372
0,557,335,424
0,452,163,509
0,479,152,498
0,392,189,412
0,335,415,399
0,405,509,410
17,508,705,905
43,582,798,497
62,930,983,802
91,983,983,887
110,983,983,983
111,983,983,983
112,983,983,983
283,983,983,983
350,983,983,983
365,983,983,983
337,983,983,983
434,983,983,983
536,983,983,983
753,983,983,983
819,983,983,983
671,983,983,983
660,983,983,983
642,983,983,983
740,983,983,983
845,983,983,983
980,983,983,983
983,983,983,983
983,983,983,983
983,861,983,983
983,847,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
902,983,983,983
862,983,983,983
824,983,983,983
840,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,884,983
983,983,961,767
983,614,983,983
983,575,983,700
983,983,983,709
983,622,983,983
983,898,983,983
983,613,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
803,983,983,983
620,983,983,983
709,983,983,983
881,983,983,983
865,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
978,956,983,983
983,983,983,983
734,983,983,983
889,983,983,983
400,983,983,983
361,983,983,983
282,983,983,983
313,494,777,686
383,277,416,337
312,216,257,134
317,86,108,75
338,9,5,0
360,0,0,0
351,0,0,0
572,0,0,0
764,0,0,5
768,31,44,58
983,75,78,80
983,156,181,194
983,356,347,304
983,564,611,664
983,983,983,854
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,0
983,983,983,983
983,759,983,983
983,808,737,753
983,983,983,983
867,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
699,983,983,983
549,983,983,983
319,983,983,983
173,983,983,983
149,983,983,983
144,983,983,983
140,983,983,983
272,983,983,983
419,983,983,983
436,983,983,983
461,912,983,983
468,778,983,983
602,689,983,983
892,754,983,983
926,967,983,983
983,983,983,983
983,983,983,983
983,983,775,983
983,983,770,685
983,855,983,576
983,481,629,685
983,980,860,259
983,983,889,385
983,885,787,748
983,983,983,648
983,841,983,983
983,581,831,983
983,983,950,983
983,950,983,861
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
976,983,983,983
827,983,983,983
942,983,983,983
894,983,983,983
647,983,983,983
671,983,983,983
408,983,983,983
293,983,983,983
296,983,983,983
253,983,983,983
192,983,983,983
147,861,983,983
133,718,983,983
90,326,721,710
75,201,463,541
39,140,210,481
0,62,72,293
0,0,4,76
0,0,0,0
0,0,0,0
0,41,36,24
0,76,75,56
0,204,139,137
0,379,285,230
11,577,495,386
19,832,733,585
40,983,963,774
71,983,983,930
109,983,983,912
106,983,983,983
148,983,983,983
110,983,983,983
94,983,983,983
128,983,983,983
120,983,983,983
141,983,983,983
228,983,983,983
562,983,983,983
477,983,983,983
607,983,983,983
726,983,983,983
786,983,983,983
755,983,983,983
691,983,983,983
751,983,983,983
628,983,983,983
722,983,983,983
594,983,983,983
917,983,983,983
983,983,983,983
983,983,983,983
983,925,983,983
983,980,983,983
983,983,983,983
983,983,983,983
983,983,928,983
983,983,877,811
983,983,983,565
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,896,983,983
983,658,983,983
983,547,960,983
983,425,758,950
983,362,685,700
