region,planning_year,value
MISO,2026,0.081
MISO,2027,0.083
MISO,2028,0.085
MISO,2029,0.085
MISO,2030,0.085
MISO,2031,0.086
MISO,2032,0.087
MISO,2033,0.088
MISO,2034,0.089
MISO,2035,0.089
MISO,2036,0.089
MISO,2037,0.089
MISO,2038,0.089
MISO,2039,0.089
MISO,2040,0.089
MISO,2041,0.089
MISO,2042,0.089
MISO,2043,0.089
MISO,2044,0.089
MISO,2045,0.089
MISO,2046,0.089
MISO,2047,0.089
MISO,2048,0.089
MISO,2049,0.089
MISO,2050,0.089
MRO-Manitoba Hydro,2026,0.12
MRO-Manitoba Hydro,2027,0.12
MRO-Manitoba Hydro,2028,0.12
MRO-Manitoba Hydro,2029,0.12
MRO-Manitoba Hydro,2030,0.12
MRO-Manitoba Hydro,2031,0.12
MRO-Manitoba Hydro,2032,0.12
MRO-Manitoba Hydro,2033,0.12
MRO-Manitoba Hydro,2034,0.12
MRO-Manitoba Hydro,2035,0.12
MRO-Manitoba Hydro,2036,0.12
MRO-Manitoba Hydro,2037,0.12
MRO-Manitoba Hydro,2038,0.12
MRO-Manitoba Hydro,2039,0.12
MRO-Manitoba Hydro,2040,0.12
MRO-Manitoba Hydro,2041,0.12
MRO-Manitoba Hydro,2042,0.12
MRO-Manitoba Hydro,2043,0.12
MRO-Manitoba Hydro,2044,0.12
MRO-Manitoba Hydro,2045,0.12
MRO-Manitoba Hydro,2046,0.12
MRO-Manitoba Hydro,2047,0.12
MRO-Manitoba Hydro,2048,0.12
MRO-Manitoba Hydro,2049,0.12
MRO-Manitoba Hydro,2050,0.12
MRO-SPP,2026,0.19
MRO-SPP,2027,0.19
MRO-SPP,2028,0.19
MRO-SPP,2029,0.19
MRO-SPP,2030,0.19
MRO-SPP,2031,0.19
MRO-SPP,2032,0.19
MRO-SPP,2033,0.19
MRO-SPP,2034,0.19
MRO-SPP,2035,0.19
MRO-SPP,2036,0.19
MRO-SPP,2037,0.19
MRO-SPP,2038,0.19
MRO-SPP,2039,0.19
MRO-SPP,2040,0.19
MRO-SPP,2041,0.19
MRO-SPP,2042,0.19
MRO-SPP,2043,0.19
