region,planning_year,reserve_margin
p1,2025,0.163
p1,2026,0.158
p1,2027,0.159
p1,2028,0.154
p1,2029,0.147
p1,2030,0.145
p1,2031,0.143
p1,2032,0.142
p1,2033,0.144
p1,2034,0.138
p1,2035,0.138
p1,2036,0.138
p1,2037,0.138
p1,2038,0.138
p1,2039,0.138
p1,2040,0.138
p1,2041,0.138
p1,2042,0.138
p1,2043,0.138
p1,2044,0.138
p1,2045,0.138
p1,2046,0.138
p1,2047,0.138
p1,2048,0.138
p1,2049,0.138
p1,2050,0.138
p10,2025,0.174
p10,2026,0.174
p10,2027,0.164
p10,2028,0.174
p10,2029,0.166
p10,2030,0.164
p10,2031,0.161
p10,2032,0.163
p10,2033,0.149
p10,2034,0.153
p10,2035,0.153
p10,2036,0.153
p10,2037,0.153
p10,2038,0.153
p10,2039,0.153
p10,2040,0.153
p10,2041,0.153
p10,2042,0.153
p10,2043,0.153
p10,2044,0.153
p10,2045,0.153
p10,2046,0.153
p10,2047,0.153
p10,2048,0.153
p10,2049,0.153
p10,2050,0.153
p100,2025,0.177
p100,2026,0.177
p100,2027,0.176
p100,2028,0.176
p100,2029,0.176
p100,2030,0.176
p100,2031,0.176
p100,2032,0.176
p100,2033,0.176
p100,2034,0.176
p100,2035,0.176
p100,2036,0.176
p100,2037,0.176
p100,2038,0.176
p100,2039,0.176
p100,2040,0.176
p100,2041,0.176
p100,2042,0.176
p100,2043,0.176
p100,2044,0.176
p100,2045,0.176
p100,2046,0.176
p100,2047,0.176
p100,2048,0.176
p100,2049,0.176
p100,2050,0.176
p101,2025,0.15
p101,2026,0.15
p101,2027,0.15
p101,2028,0.15
p101,2029,0.15
p101,2030,0.15
p101,2031,0.15
p101,2032,0.15
p101,2033,0.15
p101,2034,0.15
p101,2035,0.15
p101,2036,0.15
p101,2037,0.15
p101,2038,0.15
p101,2039,0.15
p101,2040,0.15
p101,2041,0.15
p101,2042,0.15
p101,2043,0.15
p101,2044,0.15
p101,2045,0.15
p101,2046,0.15
p101,2047,0.15
p101,2048,0.15
p101,2049,0.15
p101,2050,0.15
p102,2025,0.15
p102,2026,0.15
p102,2027,0.15
p102,2028,0.15
p102,2029,0.15
p102,2030,0.15
p102,2031,0.15
p102,2032,0.15
p102,2033,0.15
p102,2034,0.15
p102,2035,0.15
p102,2036,0.15
p102,2037,0.15
p102,2038,0.15
p102,2039,0.15
p102,2040,0.15
p102,2041,0.15
p102,2042,0.15
p102,2043,0.15
p102,2044,0.15
p102,2045,0.15
p102,2046,0.15
p102,2047,0.15
p102,2048,0.15
p102,2049,0.15
p102,2050,0.15
p103,2025,0.092
